Classifier,N Subjects,Standard CSP Mean (%),Standard CSP Std (%),FBCSP Mean (%),FBCSP Std (%),Mean Improvement (percentage points),Improvement Std,Minimum Improvement,Maximum Improvement,Shapiro-Wilk Statistic,Shapiro-Wilk p-value,Paired t-statistic,Paired t-test p-value,Wilcoxon Statistic,Wilcoxon p-value,Cohen's d,Effect Size,T-test Significant,Wilcoxon Significant
LDA,9,37.57717777777778,13.491251682366038,32.71605555555555,3.7549093950823598,-4.861122222222222,11.034898170098556,-23.2639,7.9861,0.9017410226509108,0.2622617816719659,-1.3215678515442448,0.22285345914451526,15.0,0.42578125,-0.4405226171814149,small,False,False
SVM,9,34.06636666666667,10.317019403999392,31.09567777777778,5.283346913599791,-2.9706888888888887,9.675788858078244,-18.75,10.416699999999999,0.9573182822659079,0.7698765374096936,-0.92106874151414,0.38394908579636394,12.0,0.4609375,-0.3070229138380467,small,False,False
Logistic Regression,9,37.57714444444444,13.559222645685768,32.677466666666675,3.7172555888047296,-4.899677777777779,10.598015575424697,-22.5694,4.8611,0.8285120740097389,0.04297027235682878,-1.3869609106272993,0.20287224741376994,10.0,0.296875,-0.46232030354243303,small,False,False
