Classifier,Standard CSP Mean (%),Standard CSP Std (%),FBCSP Mean (%),FBCSP Std (%),Mean Improvement (percentage points),Improvement Std,Paired t-test statistic,Paired t-test p-value,Wilcoxon statistic,Wilcoxon p-value,Shapiro-Wilk statistic,Shapiro-Wilk p-value,Cohen's d,Effect Size
LDA,76.08374444444445,13.564336885295122,74.21728888888889,12.10438359814787,-1.8664555555555513,7.319079065550378,-0.7650370513172745,0.4662162434407647,19.0,0.734375,0.9112542958679855,0.3247524076066367,-0.2550123504390915,small
SVM,75.3858888888889,13.518961941236874,76.93212222222222,13.267657165997486,1.5462333333333318,4.996588190955903,0.9283734866115834,0.3803719081814899,17.0,0.5703125,0.9588881360368952,0.7866122909487078,0.3094578288705278,small
Logistic Regression,76.76791111111112,12.83961515373849,78.16637777777777,14.040432756754488,1.398466666666664,6.176031778172776,0.6793034995103656,0.5161143222647537,20.0,0.8203125,0.8925330080271494,0.21181616230601602,0.2264344998367885,small
