Classifier,Subjects,Standard CSP Mean (%),Standard CSP Std (%),FBCSP Mean (%),FBCSP Std (%),Mean Improvement (pp),Improvement Std (pp),Minimum Improvement (pp),Maximum Improvement (pp),Shapiro Statistic,Shapiro p-value,Paired t Statistic,Paired t p-value,Wilcoxon Statistic,Wilcoxon p-value,Cohen's d,Effect Size,T-test Significant,Wilcoxon Significant
LDA,9,60.99482222222222,14.577190978355343,67.02292222222222,16.130363663428188,6.028100000000001,3.3349041631657106,-1.3913999999999973,9.763999999999996,0.8839318204547185,0.17264259811081117,-5.42273454204249,0.0006287499599684458,1.0,0.0078125,1.80757818068083,large,True,True
SVM,9,59.603411111111114,16.940970512742506,68.24965555555555,16.19591102007781,8.646244444444445,5.032026333921333,0.689700000000002,18.100500000000004,0.9416767254721213,0.5996558974316919,-5.1547292506158096,0.0008692621311289843,0.0,0.00390625,1.7182430835386033,large,True,True
Logistic Regression,9,60.22046666666667,15.091405565337508,67.36508888888889,16.16674616592996,7.144622222222223,4.663700354808877,-3.8354,11.851199999999999,0.7959865158221515,0.018374221739935016,-4.595892753822742,0.0017649060367457572,1.0,0.0078125,1.5319642512742473,large,True,True
